12/31/2016 12:43:09 PM,System.Data.SqlClient.SqlException,"A network-related or instance-specific error occurred while establishing a connection to SQL Server. The server was not found or was not accessible. Verify that the instance name is correct and that SQL Server is configured to allow remote connections. (provider: Named Pipes Provider, error: 40 - Could not open a connection to SQL Server)"
12/31/2016 12:43:09 PM,System.ComponentModel.Win32Exception,"The network path was not found"
12/31/2016 6:41:20 PM,System.Exception,"Exception occurred when adding Plugin Entities to RockContext"
12/31/2016 6:41:20 PM,System.ArgumentException,"The argument 'value' cannot be null, empty or contain only white space."
12/31/2016 6:41:24 PM,System.Exception,"Error occurred during application startup"
12/31/2016 6:41:24 PM,System.Data.SqlClient.SqlException,"A network-related or instance-specific error occurred while establishing a connection to SQL Server. The server was not found or was not accessible. Verify that the instance name is correct and that SQL Server is configured to allow remote connections. (provider: Named Pipes Provider, error: 40 - Could not open a connection to SQL Server)"
12/31/2016 6:41:24 PM,System.ComponentModel.Win32Exception,"The network path was not found"
12/31/2016 6:54:56 PM,System.Exception,"Exception occurred when adding Plugin Entities to RockContext"
12/31/2016 6:54:56 PM,System.ArgumentException,"The argument 'value' cannot be null, empty or contain only white space."
12/31/2016 6:55:50 PM,System.Exception,"Error occurred during application startup"
12/31/2016 6:55:50 PM,System.Data.SqlClient.SqlException,"A network-related or instance-specific error occurred while establishing a connection to SQL Server. The server was not found or was not accessible. Verify that the instance name is correct and that SQL Server is configured to allow remote connections. (provider: Named Pipes Provider, error: 40 - Could not open a connection to SQL Server)"
12/31/2016 6:55:50 PM,System.ComponentModel.Win32Exception,"The network path was not found"
12/31/2016 7:07:40 PM,System.Exception,"Exception occurred when adding Plugin Entities to RockContext"
12/31/2016 7:07:40 PM,System.ArgumentException,"The argument 'value' cannot be null, empty or contain only white space."
12/31/2016 7:08:00 PM,System.Exception,"Error occurred during application startup"
12/31/2016 7:08:00 PM,System.Data.SqlClient.SqlException,"A network-related or instance-specific error occurred while establishing a connection to SQL Server. The server was not found or was not accessible. Verify that the instance name is correct and that SQL Server is configured to allow remote connections. (provider: Named Pipes Provider, error: 40 - Could not open a connection to SQL Server)"
12/31/2016 7:08:00 PM,System.ComponentModel.Win32Exception,"The network path was not found"
12/31/2016 8:02:39 PM,System.Exception,"Error occurred during application startup"
12/31/2016 8:02:39 PM,System.TypeInitializationException,"The type initializer for 'System.Data.Entity.Internal.AppConfig' threw an exception."
12/31/2016 8:02:39 PM,System.Configuration.ConfigurationErrorsException,"Unable to open configSource file 'web.ConnectionStrings.config'. (h:\root\home\jgreentree-001\www\rock\web.config line 20)"
1/1/2017 6:40:22 AM,System.Exception,"Error doing KeepAlive request."
1/1/2017 6:40:22 AM,System.Net.WebException,"The remote server returned an error: (404) Not Found."
1/3/2017 12:22:24 PM,System.Exception,"Problem processing block with path '~/Plugins/church_ccv/Groups/NHGroupMemberDetail.ascx'."
1/3/2017 12:22:24 PM,System.Web.HttpCompileException,"h:\root\home\jgreentree-001\www\rock\Plugins\church_ccv\Groups\NHGroupMemberDetail.ascx.cs(32): error CS0246: The type or namespace name 'church' could not be found (are you missing a using directive or an assembly reference?)"
1/3/2017 1:06:12 PM,System.Exception,"Problem processing block with path '~/Plugins/church_ccv/Groups/NSGroupDetailLava.ascx'."
1/3/2017 1:06:12 PM,System.Web.HttpCompileException,"h:\root\home\jgreentree-001\www\rock\Plugins\church_ccv\Groups\NSGroupDetailLava.ascx.cs(24): error CS0246: The type or namespace name 'church' could not be found (are you missing a using directive or an assembly reference?)"
1/4/2017 10:11:04 AM,System.Data.Entity.Core.EntityException,"The underlying provider failed on Open."
1/4/2017 10:11:04 AM,System.Data.SqlClient.SqlException,"A network-related or instance-specific error occurred while establishing a connection to SQL Server. The server was not found or was not accessible. Verify that the instance name is correct and that SQL Server is configured to allow remote connections. (provider: Named Pipes Provider, error: 40 - Could not open a connection to SQL Server)"
1/4/2017 10:11:04 AM,System.ComponentModel.Win32Exception,"The network path was not found"
1/4/2017 2:10:45 PM,System.Exception,"Exception in Global.DrainTransactionQueue(): UserLastActivityTransaction"
1/4/2017 2:10:45 PM,System.Data.Entity.Core.EntityException,"The underlying provider failed on Open."
1/4/2017 2:10:45 PM,System.Data.SqlClient.SqlException,"A network-related or instance-specific error occurred while establishing a connection to SQL Server. The server was not found or was not accessible. Verify that the instance name is correct and that SQL Server is configured to allow remote connections. (provider: Named Pipes Provider, error: 40 - Could not open a connection to SQL Server)"
1/4/2017 2:10:45 PM,System.ComponentModel.Win32Exception,"The network path was not found"
1/4/2017 3:09:41 PM,System.Exception,"Exception occurred when adding Plugin Entities to RockContext"
1/4/2017 3:09:41 PM,System.ArgumentException,"The argument 'value' cannot be null, empty or contain only white space."
1/4/2017 3:09:43 PM,System.Exception,"Plugin Migration error occurred in org.sparkdevnetwork.MobileMemberApp, InitalSetup"
1/4/2017 3:09:43 PM,System.Data.SqlClient.SqlException,"Cannot insert the value NULL into column 'Id', table 'DB_A15F32_thursdaychurch.dbo.Group'; column does not allow nulls. INSERT fails.
The statement has been terminated."
1/4/2017 3:09:50 PM,System.Exception,"Could not update a block attribute ( Entity Type Id: 115; Property Name: Room Balance Grouptypes ). "
1/4/2017 3:09:50 PM,System.Data.Entity.Infrastructure.DbUpdateException,"An error occurred while updating the entries. See the inner exception for details."
1/4/2017 3:09:50 PM,System.Data.Entity.Core.UpdateException,"An error occurred while updating the entries. See the inner exception for details."
1/4/2017 3:09:50 PM,System.Data.SqlClient.SqlException,"Cannot insert the value NULL into column 'Id', table 'DB_A15F32_thursdaychurch.dbo.Attribute'; column does not allow nulls. INSERT fails.
The statement has been terminated."
1/4/2017 3:09:50 PM,System.Exception,"Could not update a block attribute ( Entity Type Id: 115; Property Name: Balancing Override ). "
1/4/2017 3:09:50 PM,System.Data.Entity.Infrastructure.DbUpdateException,"An error occurred while updating the entries. See the inner exception for details."
1/4/2017 3:09:50 PM,System.Data.Entity.Core.UpdateException,"An error occurred while updating the entries. See the inner exception for details."
1/4/2017 3:09:50 PM,System.Data.SqlClient.SqlException,"Cannot insert the value NULL into column 'Id', table 'DB_A15F32_thursdaychurch.dbo.Attribute'; column does not allow nulls. INSERT fails.
The statement has been terminated."
1/4/2017 3:09:50 PM,System.Exception,"Could not update a block attribute ( Entity Type Id: 115; Property Name: Excluded Locations ). "
1/4/2017 3:09:50 PM,System.Data.Entity.Infrastructure.DbUpdateException,"An error occurred while updating the entries. See the inner exception for details."
1/4/2017 3:09:50 PM,System.Data.Entity.Core.UpdateException,"An error occurred while updating the entries. See the inner exception for details."
1/4/2017 3:09:50 PM,System.Data.SqlClient.SqlException,"Cannot insert the value NULL into column 'Id', table 'DB_A15F32_thursdaychurch.dbo.Attribute'; column does not allow nulls. INSERT fails.
The statement has been terminated."
1/4/2017 3:09:50 PM,System.Exception,"Could not update a block attribute ( Entity Type Id: 115; Property Name: Person Special Needs Attribute ). "
1/4/2017 3:09:50 PM,System.Data.Entity.Infrastructure.DbUpdateException,"An error occurred while updating the entries. See the inner exception for details."
1/4/2017 3:09:50 PM,System.Data.Entity.Core.UpdateException,"An error occurred while updating the entries. See the inner exception for details."
1/4/2017 3:09:50 PM,System.Data.SqlClient.SqlException,"Cannot insert the value NULL into column 'Id', table 'DB_A15F32_thursdaychurch.dbo.Attribute'; column does not allow nulls. INSERT fails.
The statement has been terminated."
1/4/2017 3:09:50 PM,System.Exception,"Could not delete one or more old attributes."
1/4/2017 3:09:50 PM,System.Data.Entity.Infrastructure.DbUpdateException,"An error occurred while updating the entries. See the inner exception for details."
1/4/2017 3:09:50 PM,System.Data.Entity.Core.UpdateException,"An error occurred while updating the entries. See the inner exception for details."
1/4/2017 3:09:50 PM,System.Data.SqlClient.SqlException,"Cannot insert the value NULL into column 'Id', table 'DB_A15F32_thursdaychurch.dbo.Attribute'; column does not allow nulls. INSERT fails.
The statement has been terminated."
1/4/2017 3:11:00 PM,System.Exception,"Exception in Global.DrainTransactionQueue(): PageViewTransaction"
1/4/2017 3:11:00 PM,System.Data.Entity.Infrastructure.DbUpdateException,"An error occurred while updating the entries. See the inner exception for details."
1/4/2017 3:11:00 PM,System.Data.Entity.Core.UpdateException,"An error occurred while updating the entries. See the inner exception for details."
